Outlet,Date,PLU,Item,Qty,Amount
ROLLA,28/08/2026,138,MSHRM MSL,5,50.00
ROLLA,28/08/2026,139,CHKN KADAI,3,48.00
ROLLA,28/08/2026,140,PNR BTR MSL,4,68.00
ROLLA,28/08/2026,141,PRAWNS CHILLI,3,51.00
ROLLA,28/08/2026,142,CHILLI PNR,3,51.00
ROLLA,28/08/2026,143,MTR PNR,2,34.00
ROLLA,28/08/2026,144,CHKN MANCHURIAN,4,68.00
ROLLA,28/08/2026,145,GOBI MSL,2,34.00
ROLLA,28/08/2026,146,PEPPER CHKN,3,51.00
ROLLA,28/08/2026,DLV,DELIVERY CHARGE,4,20.00
ROLLA,29/08/2026,52a,KARAK FLASK 1L,2,70.00
ROLLA,29/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,29/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,29/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,29/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,29/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,29/08/2026,55a,CAPPUCCINO SML,21,105.00
ROLLA,29/08/2026,55b,CAPPUCCINO LRG,20,160.00
ROLLA,29/08/2026,56a,SAHALAB SML,15,75.00
ROLLA,29/08/2026,56b,SAHALAB LRG,13,104.00
ROLLA,29/08/2026,57a,KASHMIRI TEA SML,21,105.00
ROLLA,29/08/2026,57b,KASHMIRI TEA LRG,14,112.00
ROLLA,29/08/2026,58a,BOOST SML,14,70.00
ROLLA,29/08/2026,58b,BOOST LRG,18,144.00
ROLLA,29/08/2026,59a,HORLICKS SML,18,90.00
ROLLA,29/08/2026,59b,HORLICKS LRG,14,112.00
ROLLA,29/08/2026,60a,HOT CHOC SML,21,105.00
ROLLA,29/08/2026,60b,HOT CHOC LRG,14,112.00
ROLLA,29/08/2026,61,HONEY CAKE,6,66.00
ROLLA,29/08/2026,62,ZAFRAN CAKE,5,70.00
ROLLA,29/08/2026,63,LOTUS CAKE,3,33.00
ROLLA,29/08/2026,64a,KARAK DELIVERY S,30,45.00
ROLLA,29/08/2026,64b,KARAK DELIVERY M,21,63.00
ROLLA,29/08/2026,64c,KARAK DELIVERY L,21,105.00
ROLLA,29/08/2026,126,B/CHKN,4,68.00
ROLLA,29/08/2026,127,CHKN WINGS,4,72.00
ROLLA,29/08/2026,128,CHKN 65 DRY,3,51.00
ROLLA,29/08/2026,129,DAL FRY,5,50.00
ROLLA,29/08/2026,130,GREEN PEAS MSL,6,60.00
ROLLA,29/08/2026,131,CHKN CHILLI,3,51.00
ROLLA,29/08/2026,132,BEEF MSL,3,51.00
ROLLA,29/08/2026,133,PRAWNS MSL,4,68.00
ROLLA,29/08/2026,134,GARLIC CHKN,3,51.00
ROLLA,29/08/2026,135,MTR MSHRM,3,45.00
ROLLA,29/08/2026,136,PNR KADAI,3,45.00
ROLLA,29/08/2026,137,PALAK PNR,4,48.00
ROLLA,29/08/2026,138,MSHRM MSL,5,50.00
ROLLA,29/08/2026,139,CHKN KADAI,3,48.00
ROLLA,29/08/2026,140,PNR BTR MSL,4,68.00
ROLLA,29/08/2026,141,PRAWNS CHILLI,3,51.00
ROLLA,29/08/2026,142,CHILLI PNR,4,68.00
ROLLA,29/08/2026,143,MTR PNR,4,68.00
ROLLA,29/08/2026,144,CHKN MANCHURIAN,4,68.00
ROLLA,29/08/2026,145,GOBI MSL,3,51.00
ROLLA,29/08/2026,146,PEPPER CHKN,4,68.00
ROLLA,29/08/2026,DLV,DELIVERY CHARGE,6,30.00
ROLLA,30/08/2026,52a,KARAK FLASK 1L,1,35.00
ROLLA,30/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,30/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,30/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,30/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,30/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,30/08/2026,55a,CAPPUCCINO SML,10,50.00
ROLLA,30/08/2026,55b,CAPPUCCINO LRG,18,144.00
ROLLA,30/08/2026,56a,SAHALAB SML,12,60.00
ROLLA,30/08/2026,56b,SAHALAB LRG,10,80.00
ROLLA,30/08/2026,57a,KASHMIRI TEA SML,15,75.00
ROLLA,30/08/2026,57b,KASHMIRI TEA LRG,12,96.00
ROLLA,30/08/2026,58a,BOOST SML,13,65.00
ROLLA,30/08/2026,58b,BOOST LRG,12,96.00
ROLLA,30/08/2026,59a,HORLICKS SML,13,65.00
ROLLA,30/08/2026,59b,HORLICKS LRG,11,88.00
ROLLA,30/08/2026,60a,HOT CHOC SML,18,90.00
ROLLA,30/08/2026,60b,HOT CHOC LRG,18,144.00
ROLLA,30/08/2026,61,HONEY CAKE,3,33.00
ROLLA,30/08/2026,62,ZAFRAN CAKE,4,56.00
ROLLA,30/08/2026,63,LOTUS CAKE,3,33.00
ROLLA,30/08/2026,64a,KARAK DELIVERY S,19,28.50
ROLLA,30/08/2026,64b,KARAK DELIVERY M,16,48.00
ROLLA,30/08/2026,64c,KARAK DELIVERY L,17,85.00
ROLLA,30/08/2026,126,B/CHKN,3,51.00
ROLLA,30/08/2026,127,CHKN WINGS,2,36.00
ROLLA,30/08/2026,128,CHKN 65 DRY,4,68.00
ROLLA,30/08/2026,129,DAL FRY,4,40.00
ROLLA,30/08/2026,130,GREEN PEAS MSL,3,30.00
ROLLA,30/08/2026,131,CHKN CHILLI,3,51.00
ROLLA,30/08/2026,132,BEEF MSL,3,51.00
ROLLA,30/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,30/08/2026,134,GARLIC CHKN,2,34.00
ROLLA,30/08/2026,135,MTR MSHRM,2,30.00
ROLLA,30/08/2026,136,PNR KADAI,4,60.00
ROLLA,30/08/2026,137,PALAK PNR,4,48.00
ROLLA,30/08/2026,138,MSHRM MSL,3,30.00
ROLLA,30/08/2026,139,CHKN KADAI,2,32.00
ROLLA,30/08/2026,140,PNR BTR MSL,3,51.00
ROLLA,30/08/2026,141,PRAWNS CHILLI,2,34.00
ROLLA,30/08/2026,142,CHILLI PNR,3,51.00
ROLLA,30/08/2026,143,MTR PNR,4,68.00
ROLLA,30/08/2026,144,CHKN MANCHURIAN,3,51.00
ROLLA,30/08/2026,145,GOBI MSL,3,51.00
ROLLA,30/08/2026,146,PEPPER CHKN,3,51.00
ROLLA,30/08/2026,DLV,DELIVERY CHARGE,3,15.00
ROLLA,31/08/2026,52a,KARAK FLASK 1L,1,35.00
ROLLA,31/08/2026,52b,KARAK FLASK 2L,1,55.00
ROLLA,31/08/2026,53a,COFFEE MILK FLASK 1L,1,50.00
ROLLA,31/08/2026,53b,COFFEE MILK FLASK 2L,1,60.00
ROLLA,31/08/2026,54a,HABBAT AL HAMRA 1L,1,50.00
ROLLA,31/08/2026,54b,HABBAT AL HAMRA 2L,1,70.00
ROLLA,31/08/2026,55a,CAPPUCCINO SML,16,80.00
ROLLA,31/08/2026,55b,CAPPUCCINO LRG,15,120.00
ROLLA,31/08/2026,56a,SAHALAB SML,13,65.00
ROLLA,31/08/2026,56b,SAHALAB LRG,13,104.00
ROLLA,31/08/2026,57a,KASHMIRI TEA SML,11,55.00
ROLLA,31/08/2026,57b,KASHMIRI TEA LRG,18,144.00
ROLLA,31/08/2026,58a,BOOST SML,14,70.00
ROLLA,31/08/2026,58b,BOOST LRG,13,104.00
ROLLA,31/08/2026,59a,HORLICKS SML,11,55.00
ROLLA,31/08/2026,59b,HORLICKS LRG,14,112.00
ROLLA,31/08/2026,60a,HOT CHOC SML,13,65.00
ROLLA,31/08/2026,60b,HOT CHOC LRG,11,88.00
ROLLA,31/08/2026,61,HONEY CAKE,4,44.00
ROLLA,31/08/2026,62,ZAFRAN CAKE,3,42.00
ROLLA,31/08/2026,63,LOTUS CAKE,4,44.00
ROLLA,31/08/2026,64a,KARAK DELIVERY S,16,24.00
ROLLA,31/08/2026,64b,KARAK DELIVERY M,21,63.00
ROLLA,31/08/2026,64c,KARAK DELIVERY L,16,80.00
ROLLA,31/08/2026,126,B/CHKN,3,51.00
ROLLA,31/08/2026,127,CHKN WINGS,2,36.00
ROLLA,31/08/2026,128,CHKN 65 DRY,3,51.00
ROLLA,31/08/2026,129,DAL FRY,4,40.00
ROLLA,31/08/2026,130,GREEN PEAS MSL,5,50.00
ROLLA,31/08/2026,131,CHKN CHILLI,3,51.00
ROLLA,31/08/2026,132,BEEF MSL,3,51.00
ROLLA,31/08/2026,133,PRAWNS MSL,3,51.00
ROLLA,31/08/2026,134,GARLIC CHKN,3,51.00
ROLLA,31/08/2026,135,MTR MSHRM,2,30.00
ROLLA,31/08/2026,136,PNR KADAI,3,45.00
ROLLA,31/08/2026,137,PALAK PNR,3,36.00
ROLLA,31/08/2026,138,MSHRM MSL,4,40.00
ROLLA,31/08/2026,139,CHKN KADAI,2,32.00
ROLLA,31/08/2026,140,PNR BTR MSL,3,51.00
ROLLA,31/08/2026,141,PRAWNS CHILLI,3,51.00
ROLLA,31/08/2026,142,CHILLI PNR,3,51.00
ROLLA,31/08/2026,143,MTR PNR,2,34.00
ROLLA,31/08/2026,144,CHKN MANCHURIAN,2,34.00
ROLLA,31/08/2026,145,GOBI MSL,2,34.00
ROLLA,31/08/2026,146,PEPPER CHKN,3,51.00
ROLLA,31/08/2026,DLV,DELIVERY CHARGE,4,20.00
TOTAL,,,,,75540.00
